Name,Danceability,Energy,Key,Loudness,Mode,Speechness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Type,ID,Uri,Ref_Track,URL_features,Duration_ms,time_signature,Genre
MyOneAndOnlyLove,0.351,0.209,10,-23.533,0,0.0361,0.819,0.914,0.102,0.448,159.504,audio_features,21WlpZiXLelHjdoMUhHfrm,spotify:track:21WlpZiXLelHjdoMUhHfrm,https://api.spotify.com/v1/tracks/21WlpZiXLelHjdoMUhHfrm,https://api.spotify.com/v1/audio-analysis/21WlpZiXLelHjdoMUhHfrm,216707,4,acoustic
Impressions,0.505,0.574,2,-14.214,0,0.0564,0.714,0.118,0.922,0.785,155.226,audio_features,3jeoSwTLkUJhEdnQfbA1wR,spotify:track:3jeoSwTLkUJhEdnQfbA1wR,https://api.spotify.com/v1/tracks/3jeoSwTLkUJhEdnQfbA1wR,https://api.spotify.com/v1/audio-analysis/3jeoSwTLkUJhEdnQfbA1wR,306533,4,acoustic
Mr.P.C.,0.475,0.541,5,-11.89,0,0.0749,0.466,1.24E-05,0.319,0.596,131.121,audio_features,5ytXSrCiSO8UWL4f6rAOJy,spotify:track:5ytXSrCiSO8UWL4f6rAOJy,https://api.spotify.com/v1/tracks/5ytXSrCiSO8UWL4f6rAOJy,https://api.spotify.com/v1/audio-analysis/5ytXSrCiSO8UWL4f6rAOJy,423160,4,acoustic
BesameMucho,0.553,0.3,10,-18.129,0,0.0356,0.909,0.852,0.116,0.843,110.472,audio_features,5XrW9XhQxmzloeYh00ajuO,spotify:track:5XrW9XhQxmzloeYh00ajuO,https://api.spotify.com/v1/tracks/5XrW9XhQxmzloeYh00ajuO,https://api.spotify.com/v1/audio-analysis/5XrW9XhQxmzloeYh00ajuO,391613,3,acoustic
DearlyBeloved,0.469,0.403,7,-16.192,1,0.0407,0.771,0.577,0.131,0.892,76.38,audio_features,3ZBsbQOqGJWUpApbCXiQkU,spotify:track:3ZBsbQOqGJWUpApbCXiQkU,https://api.spotify.com/v1/tracks/3ZBsbQOqGJWUpApbCXiQkU,https://api.spotify.com/v1/audio-analysis/3ZBsbQOqGJWUpApbCXiQkU,291827,4,acoustic
NoBlues,0.628,0.245,0,-19.462,0,0.0424,0.866,0.0235,0.929,0.762,98.841,audio_features,0uKyRP4XKagOBpnhkUHqIS,spotify:track:0uKyRP4XKagOBpnhkUHqIS,https://api.spotify.com/v1/tracks/0uKyRP4XKagOBpnhkUHqIS,https://api.spotify.com/v1/audio-analysis/0uKyRP4XKagOBpnhkUHqIS,779000,4,acoustic
Milestones,0.553,0.546,9,-7.459,0,0.0341,0.442,0.000514,0.167,0.7,118.215,audio_features,1xicvSO4CJ2ymqYgpk7DFh,spotify:track:1xicvSO4CJ2ymqYgpk7DFh,https://api.spotify.com/v1/tracks/1xicvSO4CJ2ymqYgpk7DFh,https://api.spotify.com/v1/audio-analysis/1xicvSO4CJ2ymqYgpk7DFh,342067,4,acoustic
Canine,0.674,0.759,6,-10.71,0,0.0769,0.309,0.319,0.479,0.728,104.01,audio_features,7hTEStQeSnn0TxlaRsJLzv,spotify:track:7hTEStQeSnn0TxlaRsJLzv,https://api.spotify.com/v1/tracks/7hTEStQeSnn0TxlaRsJLzv,https://api.spotify.com/v1/audio-analysis/7hTEStQeSnn0TxlaRsJLzv,383893,4,acoustic
BeautifulLove,0.572,0.553,7,-9.394,0,0.0368,0.628,0.0765,0.166,0.503,99.282,audio_features,134Tdp85JXJdkghi05y5AC,spotify:track:134Tdp85JXJdkghi05y5AC,https://api.spotify.com/v1/tracks/134Tdp85JXJdkghi05y5AC,https://api.spotify.com/v1/audio-analysis/134Tdp85JXJdkghi05y5AC,417320,4,acoustic
WhentheLadyDances,0.683,0.553,8,-8.582,1,0.0521,0.487,0.0371,0.0699,0.543,128.822,audio_features,2qufS7ED8azJp2OknhBdB9,spotify:track:2qufS7ED8azJp2OknhBdB9,https://api.spotify.com/v1/tracks/2qufS7ED8azJp2OknhBdB9,https://api.spotify.com/v1/audio-analysis/2qufS7ED8azJp2OknhBdB9,307187,4,acoustic
